Source,Text,GT,NLTK,Transformers,PowerBI
amazon,!I definitly recommend!!,1,0.5229,0.9996021389961243,0.800972580909729
amazon,#1 It Works - #2 It is Comfortable.,1,0.5106,0.9998364448547363,0.8730621933937073
amazon,$50 Down the drain.,0,0,-0.9952990412712097,0.5
amazon,(It works!),1,0,0.9998547434806824,0.7675602436065674
amazon,)Setup couldn't have been simpler.,1,0,-0.9885590076446533,0.5
amazon,"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",1,0.5562,0.9992088675498962,0.5
amazon,.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,1,0.6249,0.9993563294410706,0.9852874279022217
amazon,":-)Oh, the charger seems to work fine.",1,0.2023,0.9995852708816528,0.16231736540794373
amazon,[...] down the drain because of a weak snap!,0,-0.4926,-0.999630868434906,0.041959911584854126
amazon,1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0,0,0.9253893494606018,0.16894757747650146
amazon,2 thumbs up to this seller,1,0,0.9991527199745178,0.5
amazon,A Disappointment.,0,-0.5106,-0.9998065233230591,0.5
amazon,A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,1,-0.0258,0.9930014610290527,0.17376333475112915
amazon,A lot of websites have been rating this a very good phone and so do I.,1,0.4927,0.9974108934402466,0.22243767976760864
amazon,"A must study for anyone interested in the ""worst sins"" of industrial design.",0,-0.6597,-0.9991075992584229,0.8089594841003418
amazon,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0,-0.5684,-0.9997766613960266,0.0788775086402893
amazon,A pretty good product.,1,0.7269,0.9998701214790344,0.9746257066726685
amazon,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,0.7096,0.9176061749458313,0.8851800560951233
amazon,"A week later after I activated it, it suddenly died.",0,-0.5574,-0.9994129538536072,0.028843820095062256
amazon,Absolutel junk.,0,0,-0.9998018741607666,0.5
amazon,Absolutely great.,1,0.659,0.9998593330383301,0.9699022769927979
amazon,Adapter does not provide enough charging current.,0,0,-0.999756932258606,0.5
amazon,"After 3 months, screen just went black all of a sudden.",0,0,-0.9995235204696655,0.22962155938148499
amazon,After a year the battery went completely dead on my headset.,0,-0.6801,-0.9993595480918884,0.08635205030441284
amazon,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0,-0.4588,-0.9973999261856079,0.5
amazon,"After charging overnight, these batteries work great.",1,0.6249,0.9996318817138672,0.8155194520950317
amazon,"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",0,-0.3875,-0.9992058873176575,0.7712869644165039
amazon,After receiving and using the product for just 2 days it broke.,0,-0.4215,-0.9982131719589233,0.11771094799041748
amazon,AFter the first charge kept going dead after 12 minutes.,0,-0.6486,-0.9920680522918701,0.22260108590126038
amazon,After trying many many handsfree gadgets this is the one that finally works well.,1,0.2732,0.9997016787528992,0.9808143377304077
amazon,"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0,-0.0754,-0.9984092712402344,0.943844735622406
amazon,All in all I think it was a good investment.,1,0.4404,0.9996324181556702,0.9643716812133789
amazon,"All in all, I'd expected a better consumer experience from Motorola.",0,0.4404,-0.9943061470985413,0.929112434387207
amazon,"All in all, I'm quite satisfied with this purchase.",1,0.4754,0.9998623132705688,0.9587321281433105
amazon,All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,0,-0.7416,-0.9987851977348328,0.004060119390487671
amazon,All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.,1,0,-0.879586935043335,0.7618011832237244
